原句	特点	动作	专业	专业名词	联想元素	联想元素属性	衔接词	总结	举例
 中年男人是怎么做到在公共场合放屁脸不红心不跳的，偷摸放得了呗，和他妈放炮似的，感觉放的不是屁，而是他对这个世界的一些指导意见。					意见	中年男人	感觉放的不是屁，而是		
 又帅又土，这种上头的感觉是什么回事吃臭豆腐的感觉	双刃剑				臭豆腐	食物		联想元素越具体越好，不能是面，但可以是武汉热干面）	
全天班4500？华尔街金融大鳄都自叹不如 鲁花压榨花生油都给你点赞	压榨				华尔街金融大鳄， 鲁花压榨花生油	职业，食物	自叹不如，给你点赞		
当她穿着酒红色蕾丝睡裙躺在床上，我透着昏暗的灯光仿佛看到了菜市场上那只躺在案板上的半扇猪。	胖，灯光灰暗								
可以摸嘛  手打断   谈了个文物呢只能看不能摸	只能看不能摸								
组织上决定派你去接头  这是接头暗号【菜鸟驿站】xxx	接头，有暗号							反向联想，不寻常的联想到寻常的	
狗瘾犯了									
 五庄观那地方，牛魔王去了都得犁三天地	凶险				牛逼的人都要去犁地	牛逼的人	都得		消炎来了都得烧三天火
人称小鸣人	多管闲事				鸣人	动漫人物	人称		
如果你已经完全课体了，但你感觉还不够，还想更课体一点，那你只需要穿上鞋子和袜子。就像空白的试卷，如果你想让它显得更加空白只需要写上你的姓名班级	欲盖弥彰				试卷	学校元素			
 这如果没有监控，走近科学能拍三集	离奇				走近科学	电视节目			
人类不一定是最强的，但一定是最顽强的，5年了，再战AI,敢来我就敢输女骑士约战哥布林了大约是	被虐				哥布林	ntr	大约是		
 家人们，矿卡是啥意思，是假货吗就是好比你在哥布林窝里救出来个女骑士	榨干				哥布林	ntr			

